continent_disasters,Africa,Americas,Asia,Europe,Oceania
1970,7,29,37,7,2
1971,7,24,24,4,4
1972,3,13,31,8,8
1973,7,25,22,7,4
1974,6,22,36,4,4
1975,10,18,27,4,8
1976,11,17,43,15,13
1977,22,28,68,11,12
1978,21,21,76,7,12
1979,16,31,55,12,8
1980,27,37,61,9,10
1981,25,22,69,17,13
1982,15,40,68,21,6
1983,23,48,78,41,16
1984,23,37,60,33,3
1985,24,43,65,30,13
1986,24,45,77,14,14
1987,45,58,87,25,12
1988,62,76,73,10,13
1989,35,58,73,13,10
1990,35,68,92,89,19
1991,33,83,116,25,9
1992,19,77,101,22,13
1993,21,78,120,35,13
1994,38,53,115,37,12
1995,37,97,106,31,6
1996,60,66,105,29,13
1997,67,82,116,42,16
1998,69,103,133,41,17
1999,106,93,140,64,13
2000,123,101,193,94,12
2001,115,95,165,53,19
2002,113,118,188,90,23
2003,84,89,148,50,21
2004,87,89,168,39,22
2005,100,94,189,100,15
2006,118,75,184,51,18
2007,109,103,162,66,9
2008,105,101,148,33,13
2009,96,84,143,42,19
2010,103,111,142,70,15
2011,80,98,150,18,11
2012,65,84,145,64,12
2013,60,79,157,44,12
2014,57,80,148,51,12
2015,65,94,184,29,26
2016,62,86,158,28,16
2017,67,101,154,41,8
2018,58,68,144,50,18
2019,115,88,168,57,14
2020,83,91,163,43,18
2021,49,98,118,37,13
