country_coordinates,Country,Total Deaths,Total Affected,Total Damages ('000 US$),Lat,Lng
0,Afghanistan,22939.0,34360790.0,578120.0,33.7680065,66.2385139
1,Albania,264.0,4384418.0,783573.0,41.000028,19.9999619
2,Algeria,7089.0,1961229.0,11783846.0,28.0000272,2.9999825
3,American Samoa,40.0,25563.0,205000.0,-14.297124,-170.7131481
4,Angola,6222.0,7303362.0,12000.0,-11.8775768,17.5691241
5,Anguilla,4.0,15150.0,202325.0,18.1954947,-63.0750234
6,Antigua and Barbuda,9.0,127314.0,792600.0,17.2234721,-61.9554608
7,Argentina,1127.0,14726989.0,14964410.0,-34.9964963,-64.9672817
8,Armenia,5.0,420330.0,203275.0,4.536307,-75.6723751
9,Australia,1392.0,16276886.0,63919098.0,-24.7761086,134.755
10,Austria,560.0,72246.0,6622970.0,47.59397,14.12456
11,Azerbaijan,68.0,2575271.0,211200.0,40.3936294,47.7872508
12,Azores Islands,108.0,23115.0,159300.0,11.6522768,92.7314601
13,Bahamas (the),409.0,54850.0,6727400.0,24.669637,-78.018505
14,Bahrain,111.0,0.0,0.0,26.1551249,50.5344606
15,Bangladesh,530697.0,428063909.0,21536086.0,24.4769288,90.2934413
16,Barbados,5.0,14228.0,107200.0,13.1500331,-59.5250305
17,Belarus,74.0,209591.0,177680.0,53.4250605,27.6971358
18,Belgium,4798.0,9533.0,2260132.0,50.6402809,4.6667145
19,Belize,69.0,396525.0,567004.0,17.1204943,-88.6859028
20,Benin,1561.0,5329800.0,8966.0,9.5293472,2.2584408
21,Bermuda,4.0,40.0,353500.0,32.3040273,-64.7563086
22,Bhutan,314.0,87871.0,3500.0,27.549511,90.5119273
23,Bolivia (Plurinational State of),2208.0,9157841.0,3784000.0,-17.0568696,-64.9912286
24,Bosnia and Herzegovina,47.0,1429914.0,821580.0,44.3053476,17.5961467
25,Botswana,698.0,1478781.0,51050.0,-23.1681782,24.5928742
26,Brazil,9731.0,111329542.0,26143870.0,-10.3333333,-53.2
27,Brunei Darussalam,0.0,0.0,2000.0,4.4137155,114.5653908
28,Bulgaria,195.0,71563.0,1420304.0,42.6073975,25.4856617
29,Burkina Faso,16870.0,15321517.0,181176.0,12.0753083,-1.6880314
30,Burundi,1218.0,4735774.0,15000.0,-3.426449,29.9324519
31,Cabo Verde,295.0,159169.0,4100.0,16.0000552,-24.0083947
32,Cambodia,2523.0,24150093.0,1659110.0,12.5433216,104.8144914
33,Cameroon,6117.0,1081839.0,5200.0,4.6125522,13.1535811
34,Canada,869.0,552586.0,35952100.0,61.0666922,-107.991707
35,Canary Is,55.0,4191.0,869923.0,44.77688515,-79.74053855522635
36,Cayman Islands (the),2.0,300.0,3496580.0,19.722484,-79.7832521
37,Central African Republic,1006.0,283577.0,125.0,7.0323598,19.9981227
38,Chad,10534.0,10674673.0,11157.0,15.6134137,19.0156172
39,Chile,2040.0,9901653.0,38669960.0,-31.7613365,-71.3187697
40,China,458408.0,3255205763.0,610508495.0,35.000074,104.999927
41,Colombia,31763.0,18650569.0,7328319.0,4.099917,-72.9088133
42,Comoros (the),161.0,864573.0,47804.0,-11.727683,43.318094
43,Congo (the Democratic Republic of the),17807.0,3493831.0,31000.0,-2.9814344,23.8222636
44,Congo (the),4556.0,677107.0,59.0,0.493737,25.204846
45,Cook Islands (the),32.0,9024.0,25000.0,44.4077417,-75.8997122
46,Costa Rica,400.0,2053855.0,1356090.0,10.2735633,-84.0739102
47,Croatia,868.0,249667.0,8118194.0,45.3658443,15.6575209
48,Cuba,278.0,24014269.0,14345697.0,23.0131338,-80.8328748
49,Cyprus,67.0,2835.0,14340.0,34.9823018,33.1451285
50,Czech Republic (the),597.0,1626165.0,6668012.0,49.88233,15.377705
51,Czechoslovakia,24.0,600.0,16000.0,48.257918,14.5007688
52,Côte d’Ivoire,949.0,93459.0,0.0,7.9897371,-5.5679458
53,Denmark,26.0,0.0,5196639.0,55.670249,10.3333283
54,Djibouti,344.0,2267130.0,5719.0,11.5936903,43.1472724
55,Dominica,140.0,196383.0,2220460.0,19.0974031,-70.3028026
56,Dominican Republic (the),3306.0,7337690.0,3047635.0,19.105937,-70.804224
57,Ecuador,8160.0,4651078.0,5765145.0,-1.3397668,-79.3666965
58,Egypt,1802.0,397037.0,1557000.0,26.2540493,29.2675469
59,El Salvador,4476.0,4939375.0,6915210.0,13.8000382,-88.9140683
60,Equatorial Guinea,15.0,946.0,0.0,1.613172,10.5170357
61,Eritrea,3.0,5622688.0,5165.0,15.9500319,37.9999668
62,Estonia,11.0,100.0,130000.0,58.7523778,25.3319078
